term,freq,cos_sim,cos_dist,rank_peri
sin,24,0.529262125492096,0.47073787450790405,1
una,120,0.5452210307121277,0.4547789692878723,2
sistema,22,0.5487997531890869,0.4512002468109131,3
los,208,0.560056746006012,0.43994325399398804,4
si,12,0.5600952506065369,0.43990474939346313,5
ley,9,0.5665487051010132,0.4334512948989868,6
inteligencia,5,0.5692528486251831,0.4307471513748169,7
atencion,17,0.5702061653137207,0.4297938346862793,8
entre,25,0.5709255337715149,0.4290744662284851,9
millones,11,0.5746036767959595,0.4253963232040405,10
programa,8,0.580642580986023,0.41935741901397705,11
salud,26,0.580949068069458,0.419050931930542,12
centros,5,0.5823877453804016,0.4176122546195984,13
nacional,26,0.5850285887718201,0.41497141122817993,14
empresas,5,0.5884312987327576,0.41156870126724243,15
red,12,0.5893850922584534,0.41061490774154663,16
lo,40,0.5898821353912354,0.41011786460876465,17
publico,25,0.5905296802520752,0.4094703197479248,18
gobierno,31,0.5936819911003113,0.4063180088996887,19
programas,10,0.5968788862228394,0.40312111377716064,20
las,207,0.598731279373169,0.40126872062683105,21
espera,12,0.6005547046661377,0.3994452953338623,22
un,167,0.6057478785514832,0.39425212144851685,23
crimen,17,0.6059356331825256,0.39406436681747437,24
servicios,14,0.6113594174385071,0.3886405825614929,25
no,96,0.6143608689308167,0.38563913106918335,26
organizado,14,0.6182606220245361,0.38173937797546387,27
gestion,9,0.6256484389305115,0.3743515610694885,28
ni,11,0.637926459312439,0.36207354068756104,29
tecnologia,8,0.6390234231948853,0.36097657680511475,30
al,82,0.6411741375923157,0.3588258624076843,31
pais,60,0.641472339630127,0.35852766036987305,32
acceso,15,0.6465327739715576,0.3534672260284424,33
plan,16,0.6470727324485779,0.3529272675514221,34
mas,59,0.6479780077934265,0.3520219922065735,35
listas,10,0.6486157178878784,0.3513842821121216,36
o,42,0.657045841217041,0.342954158782959,37
cada,36,0.6571764349937439,0.3428235650062561,38
formacion,12,0.6574227213859558,0.3425772786140442,39
ha,44,0.6576603055000305,0.3423396944999695,40
por,88,0.6622005701065063,0.33779942989349365,41
desarrollo,26,0.6638237237930298,0.3361762762069702,42
educacion,19,0.6650210022926331,0.33497899770736694,43
primaria,5,0.6680983304977417,0.3319016695022583,44
proyectos,7,0.6728343963623047,0.3271656036376953,45
uso,10,0.67413330078125,0.32586669921875,46
chile,75,0.6747647523880005,0.3252352476119995,47
mediante,8,0.6810603141784668,0.3189396858215332,48
del,170,0.681565523147583,0.318434476852417,49
es,70,0.6815918684005737,0.31840813159942627,50
