term,tf,emotion
bienestar,38,alegria
satisfaccion,5,alegria
esperanza,4,alegria
felicidad,4,alegria
orgullo,1,alegria
soledad,1,tristeza
dolor,1,tristeza
violencia,5,ira
riesgo,31,miedo
incertidumbre,16,miedo
miedo,8,miedo
inseguridad,5,miedo
amenaza,5,miedo
temor,4,miedo
seguridad,74,confianza
confianza,35,confianza
colaboracion,22,confianza
estabilidad,19,confianza
corrupcion,11,asco
repudio,1,asco
rechazo,1,asco
plan,94,anticipacion
planificacion,33,anticipacion
proyecto,31,anticipacion
estrategia,29,anticipacion
futuro,25,anticipacion
vision,24,anticipacion
