term,svd1,svd2,cluster
familias,0.22692338,-0.085536726,3
fortaleceremos,0.1709412,-0.08843466,3
i,0.18537705,-0.06928518,3
popular,0.13436149,0.39057186,4
impulsaremos,0.16669278,-0.08061357,3
<NUM> marco,0.123628266,-0.03236251,0
propuesta <NUM>,0.12330594,-0.0281412,0
patriotico,0.10307189,0.30827397,4
ii,0.1530889,-0.06517017,3
crecimiento,0.16050279,-0.048386127,3
b,0.12649018,-0.037729915,3
pilar <NUM>,0.101927295,-0.02395807,0
programas,0.16572322,-0.043840133,3
gestion,0.16720027,-0.0373609,3
millones,0.14615582,-0.0021923734,3
actual,0.11876242,0.05013688,2
sociedad,0.15772192,0.10311545,1
gasto,0.12340907,-0.022054598,0
ministerio,0.15503235,-0.028222159,3
libertad,0.13129926,0.011706658,0
crearemos,0.1094819,-0.05378809,0
pilar,0.09906779,-0.021556068,0
iii,0.10773693,-0.048149195,0
n <NUM>,0.084886044,-0.017678808,0
etc,0.09093996,0.0799795,2
industrializacion,0.066755764,0.17497037,1
d,0.11231217,-0.021192068,0
c,0.13640882,-0.037967034,3
propuestas,0.0979328,-0.032530293,0
proceso,0.10487643,0.15449302,1
<NUM> millones,0.10140179,8.298084e-05,0
debera,0.07064263,0.15846835,1
pro,0.062407624,-0.018210413,5
n,0.101301655,-0.00809614,0
genero,0.0713202,-0.027634803,0
recuperar,0.13129024,-0.04782453,3
datos,0.079919755,-0.01723734,0
pueblos,0.07664465,0.11171705,2
vivir,0.07435627,-0.033952184,0
fiscal,0.0990528,-0.013247821,0
patria,0.04834916,0.10727745,2
seguro,0.076474495,-0.032210916,0
evaluacion,0.09074,0.00071920827,0
impuesto,0.08154007,-0.010884791,0
judicial,0.081874445,-0.015128607,0
privada,0.11002952,0.02921388,0
oro,0.03696907,0.103343114,2
planificacion,0.06949752,0.09597538,2
apoyaremos,0.06978193,-0.028782796,0
region,0.09781376,-0.009340128,0
explotacion,0.041295264,0.09711815,2
trabajadora,0.0329845,0.096975826,2
trabajadoras,0.030802727,-0.017630234,5
dignos,0.032960277,-0.021310497,5
ii <NUM>,0.038940426,-0.012870144,5
i <NUM>,0.038940426,-0.012870144,5
justo,0.060809635,-0.024225798,5
g,0.050978757,-0.016677314,5
cion,0.053759012,-0.017137185,5
ahorro,0.046135828,-0.003249994,5
propiedad,0.07917885,0.08461502,2
decreto,0.039370403,-0.009157252,5
asimismo,0.08124764,0.00757902,0
cambio,0.11547112,-0.011998325,0
esperanza,0.057536658,-0.021017062,5
progreso,0.06969531,-0.022997253,0
eficiencia,0.094156735,-0.011519894,0
promoveremos,0.07449597,-0.030961204,0
ciudadania,0.07199842,-0.025537847,0
dad,0.040028173,-0.013609831,5
emergencia,0.05077447,-0.004489501,5
oportunidades,0.09781346,-0.031392753,0
hijos,0.08109649,-0.015667563,0
autoridad,0.057991453,-0.010214361,5
general,0.06864814,0.073527545,2
obesidad,0.0357182,-0.01026603,5
iv,0.06351879,-0.021557864,5
plazo,0.07700838,-0.010261246,0
verde,0.052380934,-0.016618002,5
concesiones,0.05498948,-0.0007220097,5
impacto,0.08435485,-0.008807957,0
padres,0.06322975,-0.013828161,5
garantizaremos,0.032896277,-0.019159107,5
modernizaremos,0.039375026,-0.023501575,5
costos,0.079104654,0.007090641,0
diversidades,0.0218406,-0.015471563,5
modelo desarrollo,0.032412592,-0.015647264,5
reformaremos,0.030929917,-0.020262131,5
aseguraremos,0.030929917,-0.020262131,5
clase,0.05171687,0.068106055,2
miedo,0.060924917,-0.029057015,5
pacto,0.060540043,-0.027472753,5
cuidados,0.045083083,-0.024111751,5
derechos humanos,0.031038558,-0.018437384,5
ley n,0.035478868,-0.00812731,5
criminal,0.04030345,-0.01146226,5
incentivos,0.09257689,-0.020769421,0
transparencia,0.06315537,-0.011941543,5
i d,0.038486477,-0.008660582,5
instituciones,0.11666857,-0.01939572,0
monopolios,0.02982106,0.07264739,2
actividad fisica,0.05214358,-0.018460479,5
fisica,0.05726682,-0.010491623,5
organizacion,0.04327877,0.063485906,2
suelos,0.03179588,-0.00159552,5
consideramos,0.026543433,0.06815122,2
procesos,0.09249472,0.025225526,0
tecnica,0.084025905,-0.012923788,0
establecer,0.06775629,-0.0021815044,5
implementacion,0.07842474,-0.0050115576,0
<NUM> ii,0.048053652,-0.019097678,5
biodiversidad,0.03929676,-0.008955951,5
ejemplo,0.0675658,0.03522261,2
campana,0.037193265,-0.0104586305,5
alma,0.037715554,-0.010159064,5
ecosistemas estrategicos,0.025529752,-0.0075368173,5
extraccion,0.025675824,0.0044562593,5
azul,0.02579286,-0.007062334,5
inteligencia criminal,0.023478828,-0.006222473,5
crisis,0.09185063,-0.017258938,0
cuidado,0.07039453,-0.024261627,0
actividad,0.07773562,-0.01159113,0
democracia,0.047747925,-0.010285478,5
implementaremos,0.08602404,-0.035872884,0
